"id";"empresa_id";"usuario_apertura_id";"fecha_apertura";"importe_apertura";"apertura_sugerido";"comentario_apertura";"is_pintar_apertura";"usuario_cierre_id";"fecha_cierre";"importe_cierre";"cierre_sugerido";"visa";"is_pintar_visa";"traslado";"deposito";"is_pintar_deposito";"comentario_cierre";"is_pintar_cierre";"estado";"usuario_creacion";"fecha_creacion"
431;5;18;"2018-05-03 11:24:09";152.0;152.0;"";0;18;"2018-05-03 14:08:37";152.0;152.0;0.0;0;14.0;0.0;0;"";0;1;18;"2018-05-03 11:24:09"
432;3;20;"2018-05-03 15:56:09";260.0;260.0;"";0;20;"2018-05-03 17:49:04";260.0;260.0;0.0;0;9.5;0.0;0;"";0;1;20;"2018-05-03 15:56:09"
433;5;18;"2018-05-03 17:01:14";152.0;152.0;"";0;18;"2018-05-03 20:36:27";152.0;152.0;37.5;0;76.0;50.0;0;"";0;1;18;"2018-05-03 17:01:14"
434;3;8;"2018-05-03 17:53:49";260.0;260.0;"";0;8;"2018-05-03 21:38:41";260.0;260.0;51.5;0;158.5;0.0;0;"";0;1;8;"2018-05-03 17:53:49"
435;5;11;"2018-05-04 10:31:15";152.0;152.0;"";0;11;"2018-05-04 13:57:25";152.0;152.0;46.0;0;210.0;50.0;0;"";0;1;11;"2018-05-04 10:31:15"
436;3;10;"2018-05-04 11:06:23";260.0;260.0;"";0;10;"2018-05-04 14:02:10";260.0;260.0;0.0;0;93.5;0.0;0;"";0;1;10;"2018-05-04 11:06:23"
437;3;20;"2018-05-04 14:44:40";260.0;260.0;"";0;20;"2018-05-04 17:59:13";260.0;260.0;21.0;0;47.0;0.0;0;"";0;1;20;"2018-05-04 14:44:40"
438;5;18;"2018-05-04 17:02:52";152.0;152.0;"";0;18;"2018-05-04 20:35:32";152.0;152.0;41.0;0;106.5;0.0;0;"";0;1;18;"2018-05-04 17:02:52"
439;3;8;"2018-05-04 18:03:23";260.0;260.0;"";0;8;"2018-05-04 21:40:31";260.0;260.0;105.0;0;401.5;0.0;0;"";0;1;8;"2018-05-04 18:03:23"
440;3;10;"2018-05-05 10:21:37";260.0;260.0;"";0;10;"2018-05-05 14:01:15";260.0;260.0;0.0;0;59.0;0.0;0;"";0;1;10;"2018-05-05 10:21:37"
441;5;18;"2018-05-05 11:11:30";152.0;152.0;"";0;18;"2018-05-05 14:04:09";152.0;152.0;0.0;0;98.0;0.0;0;"";0;1;18;"2018-05-05 11:11:30"
442;3;20;"2018-05-05 14:18:51";260.0;260.0;"";0;20;"2018-05-05 18:06:45";260.0;260.0;90.0;0;45.0;0.0;0;"";0;1;20;"2018-05-05 14:18:51"
443;5;11;"2018-05-05 17:39:03";152.0;152.0;"";0;11;"2018-05-05 20:32:44";152.0;152.0;10.0;0;75.0;0.0;0;"";0;1;11;"2018-05-05 17:39:03"
444;3;8;"2018-05-05 18:09:56";260.0;260.0;"";0;8;"2018-05-05 21:30:49";260.0;260.0;20.0;0;139.0;0.0;0;"";0;1;8;"2018-05-05 18:09:56"
445;3;8;"2018-05-05 21:31:04";260.0;260.0;"";0;8;"2018-05-05 21:33:36";260.0;260.0;0.0;0;0.0;0.0;0;"";0;1;8;"2018-05-05 21:31:04"
446;3;10;"2018-05-07 10:27:56";260.0;260.0;"";0;10;"2018-05-07 14:00:14";260.0;260.0;15.0;0;58.5;0.0;0;"";0;1;10;"2018-05-07 10:27:56"
447;5;18;"2018-05-07 11:56:40";152.0;152.0;"";0;18;"2018-05-07 14:03:13";152.0;152.0;11.0;0;48.5;0.0;0;"";0;1;18;"2018-05-07 11:56:40"
448;3;8;"2018-05-07 14:13:38";260.0;260.0;"";0;8;"2018-05-07 18:39:50";260.0;260.0;255.0;0;250.5;0.0;0;"visa 132.50";0;1;8;"2018-05-07 14:13:38"
